127.62,74.36,1
126.72,74.20,1
125.70,73.93,1
124.96,73.32,1
124.76,72.32,1
124.50,71.26,1
123.97,70.35,1
124.20,69.13,1
124.62,67.96,1
124.73,66.86,1
125.14,65.72,1
125.53,64.51,1
125.98,63.30,1
126.57,62.17,1
127.01,61.03,1
127.21,59.92,1
127.54,58.93,1
127.43,57.79,1
127.29,56.77,1
127.45,55.74,1
126.91,54.80,1
126.38,53.95,1
125.55,53.31,1
124.50,53.04,1
123.53,52.75,1
122.59,52.21,1
121.60,51.96,1
120.64,51.45,1
119.67,50.96,1
118.78,50.29,1
117.88,49.62,1
116.98,48.97,1
116.25,48.21,1
115.87,47.42,1
115.76,46.53,1
115.35,46.28,1
114.30,45.91,1
113.43,45.41,1
112.75,44.64,1
112.57,43.64,1
112.23,42.70,1
112.45,41.55,1
112.67,40.47,1
112.93,39.45,1
113.39,38.31,1
113.78,37.07,1
114.26,35.95,1
115.02,34.75,1
115.36,33.55,1
116.23,32.58,1
117.06,31.75,1
117.90,30.96,1
118.70,30.32,1
119.35,29.22,1
119.77,28.07,1
120.17,26.92,1
120.23,25.93,1
120.48,25.48,1
121.67,25.96,1
122.41,26.85,1
123.17,27.79,1
123.25,28.81,1
123.07,29.88,1
122.52,30.99,1
121.93,32.10,1
121.15,32.84,1
120.41,33.82,1
119.45,34.63,1
118.60,35.61,1
117.68,36.36,1
117.08,37.34,1
116.24,38.47,1
115.49,39.68,1
115.04,40.81,1
115.11,41.76,1
115.41,42.73,1
115.84,43.51,1
116.11,44.14,0
115.80,45.50,0
115.06,45.67,1
115.41,44.60,1
116.00,43.35,1
116.34,42.31,1
117.33,41.27,1
118.36,40.36,1
119.23,39.25,1
120.10,38.54,1
121.05,37.90,1
122.01,37.46,1
122.87,36.87,1
123.87,36.54,1
124.87,36.20,1
125.90,36.18,1
126.99,36.37,1
127.89,36.19,1
128.69,35.43,1
129.35,34.54,1
129.93,33.50,1
130.12,32.69,1
131.32,32.97,1
132.48,33.02,1
133.56,32.95,1
134.64,32.76,1
135.74,32.86,1
136.91,33.00,1
137.90,33.00,1
139.05,32.81,1
140.21,32.64,1
141.16,32.43,1
141.90,31.65,1
143.07,32.04,1
144.36,32.71,1
145.54,33.33,1
146.35,33.91,1
145.41,34.27,1
144.36,34.65,1
143.29,34.82,1
142.29,35.24,1
141.20,35.52,1
139.94,35.13,1
138.82,35.15,1
137.71,35.12,1
136.52,35.07,1
135.43,35.06,1
134.36,35.45,1
133.33,35.75,1
132.52,36.44,1
131.90,37.46,1
131.13,38.45,1
130.77,39.47,1
130.38,40.50,1
129.72,41.55,1
128.77,42.38,1
127.80,43.23,1
126.74,43.88,1
125.82,44.41,1
126.42,44.29,1
127.53,44.18,1
128.75,44.06,1
129.90,44.05,1
131.05,44.06,1
132.05,44.11,1
133.05,44.39,1
134.08,45.01,1
135.16,45.52,1
136.17,46.20,1
137.06,47.14,1
137.95,47.84,1
138.81,48.81,1
139.66,49.79,1
139.78,50.80,1
140.83,51.53,1
139.96,51.64,0
138.67,51.58,0
137.38,51.54,0
136.10,51.62,1
136.97,51.79,1
138.20,51.62,1
139.45,51.57,1
140.63,51.67,1
141.64,51.91,1
142.53,52.16,1
143.68,52.58,1
144.68,53.27,1
145.62,53.87,1
146.58,54.61,1
147.57,55.15,1
148.72,55.35,1
149.79,55.14,1
150.60,54.42,1
151.05,53.46,1
151.55,52.44,1
152.00,51.50,1
152.64,50.77,1
152.32,49.75,1
151.93,48.90,1
152.94,48.28,1
153.92,47.94,1
153.84,48.80,1
153.67,49.80,1
153.54,50.83,1
153.87,51.94,1
153.75,52.82,1
